repetition, trial, tTest, response, mode_mean, mode_sd
4,19,-2.060000,1,-2.001121,0.250807
4,20,-2.070000,1,-2.026170,0.209868
4,21,-2.080000,0,-1.956980,0.288833
4,22,-2.050000,1,-1.986146,0.242566
4,23,-2.060000,1,-2.009079,0.203309
4,24,-2.060000,1,-2.027497,0.169643
4,25,-2.070000,1,-2.042204,0.142463
4,26,-2.080000,1,-2.054221,0.120876
4,27,-2.080000,0,-2.015359,0.166665
4,28,-2.060000,1,-2.029314,0.139931
4,29,-2.060000,0,-1.986021,0.196485
4,30,-2.040000,1,-2.002743,0.163995
4,31,-2.040000,1,-2.016193,0.136910
4,32,-2.050000,1,-2.027066,0.115548
4,33,-2.050000,1,-2.036136,0.098359
4,34,-2.060000,1,-2.043832,0.085219
4,35,-2.060000,1,-2.050527,0.074936
4,36,-2.070000,1,-2.056469,0.067248
4,37,-2.070000,1,-2.061823,0.061315
4,38,-2.080000,1,-2.066737,0.056895
4,39,-2.080000,1,-2.071278,0.053453
4,40,-2.080000,1,-2.075502,0.050748
5,1,-1.000000,1,-1.356632,1.241629
5,2,-1.220000,1,-1.664935,1.134353
5,3,-1.420000,1,-1.915658,1.008054
5,4,-1.610000,1,-2.116555,0.884966
5,5,-1.790000,1,-2.280174,0.775375
5,6,-1.970000,1,-2.418984,0.682096
5,7,-2.140000,1,-2.540505,0.603220
5,8,-2.300000,0,-1.885032,0.569382
5,9,-2.120000,1,-1.980328,0.512614
5,10,-2.170000,1,-2.062598,0.461241
5,11,-2.200000,0,-1.858184,0.521169
5,12,-2.110000,1,-1.933320,0.460908
5,13,-2.140000,1,-1.996068,0.403241
5,14,-2.150000,1,-2.049071,0.347028
5,15,-2.170000,0,-1.923929,0.440287
5,16,-2.110000,0,-1.775606,0.538870
5,17,-2.040000,1,-1.850191,0.474977
5,18,-2.060000,1,-1.912374,0.412237
5,19,-2.080000,1,-1.962526,0.353907
5,20,-2.090000,1,-2.003003,0.300128
5,21,-2.100000,1,-2.035091,0.252495
5,22,-2.110000,1,-2.060381,0.211666
5,23,-2.120000,1,-2.080414,0.177581
5,24,-2.130000,1,-2.096506,0.149728
5,25,-2.130000,1,-2.109776,0.126619
5,26,-2.140000,1,-2.120811,0.108503
5,27,-2.150000,1,-2.130228,0.094493
5,28,-2.150000,1,-2.138450,0.083417
5,29,-2.160000,1,-2.145762,0.075090
5,30,-2.160000,1,-2.152356,0.068643
5,31,-2.170000,1,-2.158419,0.063858
5,32,-2.170000,0,-2.135310,0.072859
5,33,-2.150000,0,-2.110373,0.090682
5,34,-2.130000,1,-2.117747,0.079521
5,35,-2.140000,0,-2.092895,0.101918
5,36,-2.120000,1,-2.100971,0.088127
5,37,-2.120000,1,-2.107961,0.077254
5,38,-2.130000,0,-2.084401,0.099226
5,39,-2.110000,1,-2.092101,0.085761
5,40,-2.110000,1,-2.098762,0.075177
6,1,-1.000000,1,-1.356632,1.241629
6,2,-1.220000,1,-1.664935,1.134353
6,3,-1.420000,1,-1.915658,1.008054
6,4,-1.610000,1,-2.116555,0.884966
6,5,-1.790000,1,-2.280174,0.775375
6,6,-1.970000,1,-2.418984,0.682096
