repetition, trial, tTest, response, quantile_mean, quantile_sd
4,18,-1.814024,1,-1.784636,0.413578
4,19,-1.855005,1,-1.840411,0.338482
4,20,-1.884493,1,-1.881431,0.275582
4,21,-1.906904,0,-1.743814,0.404899
4,22,-1.820753,1,-1.795683,0.328981
4,23,-1.844819,1,-1.832915,0.266126
4,24,-1.862992,1,-1.860054,0.215978
4,25,-1.877616,1,-1.880479,0.176993
4,26,-1.890060,1,-1.896463,0.146419
4,27,-1.900760,1,-1.909390,0.122943
4,28,-1.910283,1,-1.920216,0.105259
4,29,-1.918870,1,-1.929586,0.092165
4,30,-1.926758,0,-1.891331,0.119866
4,31,-1.894134,1,-1.901181,0.101491
4,32,-1.901769,1,-1.909576,0.087831
4,33,-1.908738,1,-1.916955,0.077784
4,34,-1.915158,0,-1.887208,0.099188
4,35,-1.888697,1,-1.895064,0.085543
4,36,-1.895077,1,-1.901941,0.075465
4,37,-1.901101,1,-1.908041,0.067843
4,38,-1.906539,1,-1.913616,0.062287
4,39,-1.911764,1,-1.918715,0.058079
4,40,-1.916566,0,-1.897114,0.066285
5,1,-0.647661,1,-1.323926,1.216125
5,2,-1.106588,1,-1.620842,1.117931
5,3,-1.474511,1,-1.884288,1.012953
5,4,-1.776842,1,-2.115703,0.908826
5,5,-2.034154,0,-1.260726,0.814228
5,6,-1.397610,1,-1.443095,0.702796
5,7,-1.562178,1,-1.582147,0.598809
5,8,-1.661545,1,-1.687207,0.508732
5,9,-1.731399,1,-1.767418,0.435381
5,10,-1.783654,1,-1.829960,0.378778
5,11,-1.824495,1,-1.880218,0.338221
5,12,-1.857870,1,-1.922666,0.312936
5,13,-1.886651,1,-1.959975,0.299708
5,14,-1.912027,1,-1.993543,0.295170
5,15,-1.934513,1,-2.024909,0.297436
5,16,-1.954907,1,-2.055346,0.304841
5,17,-1.973789,1,-2.085933,0.316093
5,18,-1.991625,1,-2.117625,0.330240
5,19,-2.008782,1,-2.151300,0.346546
5,20,-2.025620,1,-2.187782,0.364340
5,21,-2.042530,0,-1.983772,0.121941
5,22,-1.974184,1,-1.995897,0.119430
5,23,-1.985053,1,-2.007448,0.119827
5,24,-1.995267,1,-2.018424,0.122220
5,25,-2.004762,1,-2.028698,0.125710
5,26,-2.013457,1,-2.038731,0.130726
5,27,-2.021658,0,-1.990194,0.076238
5,28,-1.986299,0,-1.954919,0.081005
5,29,-1.953018,1,-1.963088,0.074634
5,30,-1.960825,1,-1.970527,0.069695
5,31,-1.967968,1,-1.977385,0.065810
5,32,-1.974632,1,-1.983656,0.062601
5,33,-1.980848,1,-1.989538,0.060000
5,34,-1.986604,1,-1.995095,0.057856
5,35,-1.992151,1,-2.000282,0.055992
5,36,-1.997297,1,-2.005236,0.054421
5,37,-2.002261,1,-2.009902,0.053026
5,38,-2.006902,1,-2.014397,0.051841
5,39,-2.011445,1,-2.018662,0.050781
5,40,-2.015664,1,-2.022800,0.049894
6,1,-0.647661,1,-1.323926,1.216125
6,2,-1.106588,1,-1.620842,1.117931
6,3,-1.474511,1,-1.884288,1.012953
6,4,-1.776842,1,-2.115703,0.908826
6,5,-2.034154,0,-1.260726,0.814228
6,6,-1.397610,1,-1.443095,0.702796
6,7,-1.562178,1,-1.582147,0.598809
6,8,-1.661545,1,-1.687207,0.508732
6,9,-1.731399,1,-1.767418,0.435381
6,10,-1.783654,1,-1.829960,0.378778
6,11,-1.824495,1,-1.880218,0.338221
6,12,-1.857870,1,-1.922666,0.312936
6,13,-1.886651,1,-1.959975,0.299708
6,14,-1.912027,1,-1.993543,0.295170
6,15,-1.934513,1,-2.024909,0.297436
6,16,-1.954907,1,-2.055346,0.304841
6,17,-1.973789,1,-2.085933,0.316093
6,18,-1.991625,1,-2.117625,0.330240
6,19,-2.008782,1,-2.151300,0.346546
6,20,-2.025620,1,-2.187782,0.364340
6,21,-2.042530,1,-2.225574,0.381368
6,22,-2.059260,1,-2.267099,0.398514
6,23,-2.076819,0,-2.019521,0.119609
6,24,-2.007260,1,-2.030862,0.121360
6,25,-2.017294,0,-1.979850,0.087308
6,26,-1.976243,1,-1.989273,0.081527
6,27,-1.985360,1,-1.997908,0.077117
6,28,-1.993791,1,-2.005756,0.073609
6,29,-2.001506,1,-2.013077,0.070985
6,30,-2.008693,1,-2.019967,0.069086
6,31,-2.015424,0,-1.990393,0.067026
6,32,-1.987547,1,-1.996989,0.063831
6,33,-1.994041,1,-2.003058,0.061122
6,34,-2.000129,1,-2.008781,0.058874
6,35,-2.005741,0,-1.984347,0.061014
6,36,-1.982081,1,-1.989976,0.058354
6,37,-1.987623,1,-1.995282,0.056140
6,38,-1.992889,1,-2.000225,0.054203
6,39,-1.997814,1,-2.004936,0.052540
6,40,-2.002524,0,-1.983838,0.054407
