repetition, trial, tTest, response, mean_mean, mean_sd
7,21,-1.869740,1,-1.890921,0.189616
7,22,-1.890921,1,-1.906985,0.154460
7,23,-1.906985,1,-1.919825,0.128372
7,24,-1.919825,1,-1.930503,0.108689
7,25,-1.930503,1,-1.939692,0.094066
7,26,-1.939692,1,-1.947837,0.083338
7,27,-1.947837,1,-1.955230,0.075532
7,28,-1.955230,1,-1.962069,0.069865
7,29,-1.962069,1,-1.968379,0.065583
7,30,-1.968379,1,-1.974357,0.062453
7,31,-1.974357,1,-1.979962,0.060027
7,32,-1.979962,1,-1.985360,0.058208
7,33,-1.985360,1,-1.990590,0.056833
7,34,-1.990590,1,-1.995587,0.055708
7,35,-1.995587,0,-1.974309,0.054345
7,36,-1.974309,1,-1.978887,0.052662
7,37,-1.978887,1,-1.983314,0.051294
7,38,-1.983314,1,-1.987529,0.050103
7,39,-1.987529,1,-1.991635,0.049097
7,40,-1.991635,0,-1.973487,0.049163
8,1,-1.000000,1,-1.356632,1.241629
8,2,-1.356632,1,-1.677173,1.147428
8,3,-1.677173,1,-1.955802,1.037306
8,4,-1.955802,1,-2.194634,0.924403
8,5,-2.194634,0,-1.371991,0.887522
8,6,-1.371991,1,-1.566999,0.745941
8,7,-1.566999,1,-1.709634,0.617506
8,8,-1.709634,1,-1.814317,0.511488
8,9,-1.814317,1,-1.893180,0.428550
8,10,-1.893180,1,-1.955140,0.366922
8,11,-1.955140,1,-2.006415,0.324192
8,12,-2.006415,1,-2.050492,0.296009
8,13,-2.050492,1,-2.089824,0.279655
8,14,-2.089824,1,-2.126690,0.273808
8,15,-2.126690,1,-2.163147,0.277209
8,16,-2.163147,0,-2.032789,0.187420
8,17,-2.032789,1,-2.055195,0.161214
8,18,-2.055195,1,-2.074241,0.142176
8,19,-2.074241,1,-2.090514,0.127864
8,20,-2.090514,1,-2.104901,0.118052
8,21,-2.104901,0,-2.044736,0.129006
8,22,-2.044736,0,-1.976644,0.176447
8,23,-1.976644,1,-1.995225,0.147327
8,24,-1.995225,1,-2.010365,0.125066
8,25,-2.010365,1,-2.022973,0.107785
8,26,-2.022973,1,-2.033706,0.094548
8,27,-2.033706,1,-2.043047,0.084494
8,28,-2.043047,1,-2.051339,0.076874
8,29,-2.051339,1,-2.058830,0.071080
8,30,-2.058830,1,-2.065699,0.066633
8,31,-2.065699,1,-2.072076,0.063174
8,32,-2.072076,1,-2.077960,0.060341
8,33,-2.077960,0,-2.053116,0.063910
8,34,-2.053116,1,-2.058930,0.060310
8,35,-2.058930,1,-2.064361,0.057471
8,36,-2.064361,1,-2.069393,0.055110
8,37,-2.069393,1,-2.074167,0.053178
8,38,-2.074167,1,-2.078644,0.051509
8,39,-2.078644,1,-2.082941,0.050095
8,40,-2.082941,1,-2.087009,0.048834
9,1,-1.000000,1,-1.356632,1.241629
9,2,-1.356632,1,-1.677173,1.147428
9,3,-1.677173,1,-1.955802,1.037306
9,4,-1.955802,1,-2.194634,0.924403
9,5,-2.194634,0,-1.371991,0.887522
9,6,-1.371991,1,-1.566999,0.745941
9,7,-1.566999,1,-1.709634,0.617506
9,8,-1.709634,1,-1.814317,0.511488
9,9,-1.814317,1,-1.893180,0.428550
9,10,-1.893180,0,-1.581187,0.560212
9,11,-1.581187,1,-1.668979,0.443902
9,12,-1.668979,1,-1.729155,0.354004
9,13,-1.729155,1,-1.772247,0.286213
9,14,-1.772247,1,-1.804700,0.235289
9,15,-1.804700,1,-1.830368,0.197460
9,16,-1.830368,1,-1.851784,0.170384
9,17,-1.851784,1,-1.870279,0.151186
9,18,-1.870279,1,-1.886856,0.138362
9,19,-1.886856,1,-1.902217,0.130614
9,20,-1.902217,1,-1.916538,0.126325
9,21,-1.916538,1,-1.930490,0.125336
9,22,-1.930490,1,-1.944047,0.126478
9,23,-1.944047,1,-1.957407,0.129340
9,24,-1.957407,1,-1.971201,0.134301
9,25,-1.971201,1,-1.985265,0.140529
9,26,-1.985265,1,-2.000290,0.148659
9,27,-2.000290,1,-2.016048,0.157835
9,28,-2.016048,1,-2.033329,0.168823
9,29,-2.033329,0,-1.961529,0.077420
9,30,-1.961529,1,-1.969602,0.076539
9,31,-1.969602,1,-1.977477,0.076179
9,32,-1.977477,1,-1.985217,0.076311
9,33,-1.985217,0,-1.952477,0.064009
9,34,-1.952477,1,-1.958733,0.062210
9,35,-1.958733,1,-1.964748,0.060708
9,36,-1.964748,1,-1.970439,0.059368
9,37,-1.970439,1,-1.975960,0.058252
9,38,-1.975960,1,-1.981339,0.057337
9,39,-1.981339,1,-1.986494,0.056523
9,40,-1.986494,0,-1.964313,0.053882
10,1,-1.000000,1,-1.356632,1.241629
10,2,-1.356632,1,-1.677173,1.147428
10,3,-1.677173,1,-1.955802,1.037306
10,4,-1.955802,0,-1.022668,0.920733
10,5,-1.022668,1,-1.243175,0.792314
10,6,-1.243175,1,-1.407345,0.664640
10,7,-1.407345,1,-1.528574,0.555600
10,8,-1.528574,1,-1.619979,0.469044
10,9,-1.619979,1,-1.691387,0.403947
10,10,-1.691387,1,-1.749478,0.357738
10,11,-1.749478,1,-1.799050,0.328187
10,12,-1.799050,1,-1.843382,0.312592
10,13,-1.843382,1,-1.884687,0.308135
10,14,-1.884687,1,-1.925276,0.313581
10,15,-1.925276,1,-1.968533,0.329618
10,16,-1.968533,0,-1.823334,0.176473
10,17,-1.823334,0,-1.718298,0.229058
10,18,-1.718298,1,-1.745519,0.189563
10,19,-1.745519,1,-1.767243,0.159362
10,20,-1.767243,1,-1.785039,0.136075
10,21,-1.785039,1,-1.800048,0.118419
10,22,-1.800048,1,-1.812916,0.104804
10,23,-1.812916,1,-1.824166,0.094455
10,24,-1.824166,1,-1.834188,0.086671
10,25,-1.834188,1,-1.843271,0.080859
10,26,-1.843271,1,-1.851628,0.076550
10,27,-1.851628,1,-1.859421,0.073391
10,28,-1.859421,1,-1.866769,0.071131
10,29,-1.866769,1,-1.873767,0.069600
10,30,-1.873767,1,-1.880350,0.068520
10,31,-1.880350,1,-1.886712,0.068000
10,32,-1.886712,1,-1.892906,0.068010
10,33,-1.892906,1,-1.898843,0.068345
10,34,-1.898843,1,-1.904696,0.069209
10,35,-1.904696,1,-1.910357,0.070390
10,36,-1.910357,1,-1.916007,0.072152
10,37,-1.916007,1,-1.921687,0.074566
10,38,-1.921687,1,-1.927285,0.077364
10,39,-1.927285,1,-1.932989,0.080926
10,40,-1.932989,1,-1.938673,0.084916
11,1,-1.000000,1,-1.356632,1.241629
11,2,-1.356632,1,-1.677173,1.147428
11,3,-1.677173,1,-1.955802,1.037306
11,4,-1.955802,1,-2.194634,0.924403
11,5,-2.194634,0,-1.371991,0.887522
11,6,-1.371991,1,-1.566999,0.745941
11,7,-1.566999,1,-1.709634,0.617506
11,8,-1.709634,1,-1.814317,0.511488
11,9,-1.814317,1,-1.893180,0.428550
11,10,-1.893180,1,-1.955140,0.366922
11,11,-1.955140,1,-2.006415,0.324192
11,12,-2.006415,1,-2.050492,0.296009
11,13,-2.050492,0,-1.888653,0.306272
11,14,-1.888653,1,-1.926293,0.250158
11,15,-1.926293,1,-1.955461,0.207751
11,16,-1.955461,1,-1.978892,0.175901
11,17,-1.978892,1,-1.998270,0.152046
11,18,-1.998270,1,-2.014827,0.134856
11,19,-2.014827,1,-2.029199,0.122564
11,20,-2.029199,1,-2.042195,0.114791
11,21,-2.042195,1,-2.054048,0.110179
11,22,-2.054048,1,-2.065062,0.108123
11,23,-2.065062,0,-2.020066,0.093237
11,24,-2.020066,1,-2.029593,0.084817
11,25,-2.029593,1,-2.038212,0.078508
11,26,-2.038212,1,-2.046125,0.073792
11,27,-2.046125,0,-2.013754,0.079921
11,28,-2.013754,1,-2.021436,0.073214
11,29,-2.021436,0,-1.988962,0.086119
11,30,-1.988962,1,-1.996953,0.077265
11,31,-1.996953,0,-1.964884,0.095570
11,32,-1.964884,1,-1.973364,0.083663
11,33,-1.973364,1,-1.980792,0.074761
11,34,-1.980792,1,-1.987435,0.068099
11,35,-1.987435,1,-1.993480,0.063075
11,36,-1.993480,0,-1.967534,0.073769
11,37,-1.967534,1,-1.973914,0.066991
11,38,-1.973914,1,-1.979633,0.061748
11,39,-1.979633,1,-1.984895,0.057782
11,40,-1.984895,1,-1.989718,0.054638
12,1,-1.000000,1,-1.356632,1.241629
12,2,-1.356632,1,-1.677173,1.147428
12,3,-1.677173,1,-1.955802,1.037306
12,4,-1.955802,1,-2.194634,0.924403
12,5,-2.194634,1,-2.397219,0.814421
12,6,-2.397219,1,-2.569425,0.713176
12,7,-2.569425,1,-2.715078,0.620612
12,8,-2.715078,0,-2.195372,0.674091
12,9,-2.195372,0,-1.497166,0.857376
12,10,-1.497166,1,-1.679881,0.713090
12,11,-1.679881,1,-1.812169,0.583717
12,12,-1.812169,1,-1.908425,0.477092
12,13,-1.908425,1,-1.980675,0.393583
12,14,-1.980675,1,-2.036717,0.329150
12,15,-2.036717,1,-2.082094,0.281107
12,16,-2.082094,1,-2.119930,0.245259
12,17,-2.119930,1,-2.152903,0.220082
12,18,-2.152903,0,-2.025840,0.244092
12,19,-2.025840,1,-2.054304,0.201891
12,20,-2.054304,0,-1.939142,0.295092
12,21,-1.939142,1,-1.972698,0.237369
12,22,-1.972698,1,-1.997797,0.193060
12,23,-1.997797,1,-2.017385,0.159799
12,24,-2.017385,1,-2.033245,0.134569
12,25,-2.033245,0,-1.969114,0.191596
12,26,-1.969114,1,-1.987325,0.157094
12,27,-1.987325,1,-2.001811,0.131028
12,28,-2.001811,1,-2.013696,0.111050
12,29,-2.013696,1,-2.023737,0.095969
12,30,-2.023737,1,-2.032452,0.084710
12,31,-2.032452,1,-2.040201,0.076354
12,32,-2.040201,1,-2.047229,0.070151
12,33,-2.047229,1,-2.053707,0.065516
12,34,-2.053707,1,-2.059656,0.061888
12,35,-2.059656,1,-2.065262,0.059112
12,36,-2.065262,1,-2.070592,0.056946
12,37,-2.070592,1,-2.075609,0.055147
12,38,-2.075609,1,-2.080439,0.053694
12,39,-2.080439,1,-2.085031,0.052441
12,40,-2.085031,1,-2.089494,0.051407
13,1,-1.000000,1,-1.356632,1.241629
13,2,-1.356632,1,-1.677173,1.147428
13,3,-1.677173,1,-1.955802,1.037306
13,4,-1.955802,1,-2.194634,0.924403
13,5,-2.194634,1,-2.397219,0.814421
13,6,-2.397219,1,-2.569425,0.713176
13,7,-2.569425,0,-1.960852,0.751976
13,8,-1.960852,0,-1.129895,0.906136
13,9,-1.129895,1,-1.341794,0.770268
13,10,-1.341794,1,-1.497690,0.638786
13,11,-1.497690,1,-1.611857,0.526976
13,12,-1.611857,1,-1.697077,0.436786
13,13,-1.697077,1,-1.763180,0.367563
13,14,-1.763180,1,-1.816042,0.314769
13,15,-1.816042,1,-1.860569,0.277176
13,16,-1.860569,1,-1.899248,0.250641
13,17,-1.899248,1,-1.934454,0.233764
13,18,-1.934454,1,-1.967442,0.223986
13,19,-1.967442,1,-2.000416,0.221020
13,20,-2.000416,1,-2.034129,0.222368
13,21,-2.034129,1,-2.069686,0.226633
13,22,-2.069686,0,-1.936195,0.134804
13,23,-1.936195,1,-1.952795,0.121968
13,24,-1.952795,1,-1.967409,0.112245
13,25,-1.967409,1,-1.980715,0.105499
13,26,-1.980715,1,-1.992873,0.100815
13,27,-1.992873,1,-2.004154,0.097847
13,28,-2.004154,1,-2.014785,0.096317
13,29,-2.014785,1,-2.024964,0.096022
13,30,-2.024964,0,-1.980196,0.077985
13,31,-1.980196,0,-1.942359,0.086085
13,32,-1.942359,0,-1.899727,0.104306
13,33,-1.899727,1,-1.910626,0.092282
13,34,-1.910626,1,-1.920106,0.082971
13,35,-1.920106,1,-1.928494,0.075756
13,36,-1.928494,1,-1.936031,0.070131
13,37,-1.936031,1,-1.942893,0.065697
13,38,-1.942893,1,-1.949124,0.062046
13,39,-1.949124,0,-1.922917,0.068049
13,40,-1.922917,1,-1.929309,0.063564
14,1,-1.000000,1,-1.356632,1.241629
14,2,-1.356632,1,-1.677173,1.147428
14,3,-1.677173,1,-1.955802,1.037306
14,4,-1.955802,1,-2.194634,0.924403
14,5,-2.194634,1,-2.397219,0.814421
14,6,-2.397219,0,-1.694514,0.824371
14,7,-1.694514,1,-1.861512,0.682553
14,8,-1.861512,1,-1.982835,0.559974
14,9,-1.982835,1,-2.072013,0.461301
14,10,-2.072013,1,-2.139810,0.385528
14,11,-2.139810,0,-1.875680,0.511373
14,12,-1.875680,1,-1.950145,0.405365
14,13,-1.950145,1,-2.001830,0.323578
14,14,-2.001830,1,-2.039316,0.261787
14,15,-2.039316,1,-2.067994,0.215862
14,16,-2.067994,0,-1.956891,0.311047
14,17,-1.956891,1,-1.990125,0.247893
14,18,-1.990125,1,-2.014404,0.200036
14,19,-2.014404,1,-2.032983,0.163669
14,20,-2.032983,0,-1.958801,0.246356
14,21,-1.958801,1,-1.981605,0.197302
14,22,-1.981605,1,-1.998676,0.160102
14,23,-1.998676,1,-2.012101,0.132331
14,24,-2.012101,1,-2.023086,0.111284
14,25,-2.023086,0,-1.978289,0.159974
14,26,-1.978289,1,-1.991021,0.131369
14,27,-1.991021,1,-2.001305,0.109673
14,28,-2.001305,1,-2.009926,0.093453
14,29,-2.009926,1,-2.017396,0.081470
14,30,-2.017396,1,-2.024051,0.072688
14,31,-2.024051,0,-1.995631,0.093115
14,32,-1.995631,1,-2.002766,0.080747
14,33,-2.002766,0,-1.973188,0.110489
14,34,-1.973188,1,-1.981196,0.092943
14,35,-1.981196,1,-1.988019,0.079976
14,36,-1.988019,1,-1.994017,0.070476
14,37,-1.994017,1,-1.999354,0.063344
14,38,-1.999354,1,-2.004248,0.058172
14,39,-2.004248,1,-2.008737,0.054271
14,40,-2.008737,0,-1.989671,0.062274
15,1,-1.000000,1,-1.356632,1.241629
15,2,-1.356632,1,-1.677173,1.147428
15,3,-1.677173,1,-1.955802,1.037306
15,4,-1.955802,1,-2.194634,0.924403
15,5,-2.194634,1,-2.397219,0.814421
15,6,-2.397219,0,-1.694514,0.824371
15,7,-1.694514,1,-1.861512,0.682553
15,8,-1.861512,1,-1.982835,0.559974
15,9,-1.982835,1,-2.072013,0.461301
15,10,-2.072013,1,-2.139810,0.385528
15,11,-2.139810,1,-2.193613,0.329445
15,12,-2.193613,0,-1.985259,0.417042
15,13,-1.985259,1,-2.040188,0.333173
15,14,-2.040188,1,-2.079812,0.268858
15,15,-2.079812,1,-2.109718,0.220459
15,16,-2.109718,1,-2.133342,0.184273
15,17,-2.133342,1,-2.152707,0.157260
15,18,-2.152707,0,-2.074320,0.211187
15,19,-2.074320,0,-1.965484,0.331672
15,20,-1.965484,0,-1.746545,0.549962
15,21,-1.746545,1,-1.829344,0.429364
15,22,-1.829344,1,-1.883487,0.335828
15,23,-1.883487,1,-1.920076,0.264937
15,24,-1.920076,1,-1.946096,0.212147
15,25,-1.946096,1,-1.965657,0.172779
15,26,-1.965657,1,-1.981102,0.143076
15,27,-1.981102,1,-1.993738,0.120353
15,28,-1.993738,1,-2.004413,0.103261
15,29,-2.004413,0,-1.959667,0.141732
15,30,-1.959667,1,-1.971385,0.118243
15,31,-1.971385,1,-1.981165,0.100547
15,32,-1.981165,1,-1.989591,0.087380
15,33,-1.989591,1,-1.997049,0.077667
15,34,-1.997049,1,-2.003798,0.070523
15,35,-2.003798,1,-2.009915,0.065089
15,36,-2.009915,1,-2.015613,0.061067
15,37,-2.015613,1,-2.020981,0.058036
15,38,-2.020981,0,-1.997936,0.063119
15,39,-1.997936,1,-2.003257,0.058976
15,40,-2.003257,1,-2.008174,0.055757
16,1,-1.000000,1,-1.356632,1.241629
16,2,-1.356632,1,-1.677173,1.147428
16,3,-1.677173,1,-1.955802,1.037306
16,4,-1.955802,1,-2.194634,0.924403
